Folder,Caption,Label
caption_1,"Danai Gurira and André Holland in a theater at New York University, where they met in the Tisch Graduate Acting Program.",Theater
caption_10004,"Danny Burstein, in red, plays Bottom in Lear deBessonet's Shakespeare in the Park production of ""A Midsummer Night's Dream.""",Theater
caption_10007,Jonathan Karp is the new chief executive of Simon & Schuster.,Books
caption_10008,The Hebrew Home at Riverdale offers a program that operates when Alzheimer's and dementia patients are at their most active - the middle of the night.,Health
caption_10011,"New York's theater district, ordinarily teeming with people, is now largely empty.",Theater
caption_10041,"At center, Kensaku Shinohara and Maho Honda make a tentative connection, though Yuki Kawahisa, at left, is still in the picture in ""Time's Journey Through a Room.""",Theater
caption_10044,"In China, men are dying at higher rates following infection with the coronavirus. There may be several explanations, scientists say.",Health
caption_10055,"Priscila Cintron Rosa, 33, attended a talk in February at a hospital in San Juan, Puerto Rico, about the dangers of Zika virus for pregnant women. The C.D.C. on Friday recommended a waiting period for couples exposed to the virus who would like to become pregnant.",Health
caption_10057,"EpiPen brand auto-injection epinephrine pens, which, according to a new study, aren't administered as often as they should to children experiencing serious allergy attacks.",Health
caption_10073,"Bryan Cranston, at left and on screen, as Howard Beale in the National Theater production of ""Network.""",Theater
caption_10074,"The director Walter Dallas, center, in rehearsal with members of the cast of a stage version of Toni Morrison&rsquo;s novel &ldquo;The Bluest Eye&rdquo; at the Lorraine Hansberry Theater in San Francisco in 2007.",Theater
caption_10080,"Delfina Tirado, an inspector with mosquito control in Miami-Dade County, Fla., checked a home for the Aedes aegypti mosquito and its larvae in March. The mosquito can carry the Zika virus.",Health
caption_10081,"A volunteer, Matthew Speight, drinking a solution containing typhoid during a vaccine trial at Oxford University last year. The vaccine, called Typbar TCV, has been approved for global use by the World Health Organization.",Health
caption_10084,"David Patrick Kelly, center with arms up, and PeiJu Chien-Pott, lying down, in &ldquo;Dragon Spring Phoenix Rise.&rdquo;",Theater
caption_10089,"Matt Murphy, of Reading, Mass., developed a painful nicotine addiction from vaping that made him so dependent he called his device his ""11th finger.""",Health
