Folder,Caption,Label
caption_10,"The White House is a classical style piece of architecture, inspired by Greek and Roman buildings.",Art & Design
caption_10010,Armie Hammer and Lily James in 'Rebecca',Television
caption_10015,"On &ldquo;Jeopardy!&rdquo; he is all business, but James Holzhauer was laid-back when he graduated from the University of Illinois in 2005.",Television
caption_10017,Mayor Bill de Blasio addressing New York City Police Academy graduates in 2014.,Opinion
caption_10022,President Trump speaking to reporters in November about impeachment.,Opinion
caption_10023,"Trevor Noah said that President Trump should embrace a new book's suggestion that he didn't want to win the 2016 election. After all, Mr. Noah says, in that case why would he collude with Russia?",Television
caption_10024,'The Crown' Season 3,Television
caption_10030,"Jeff Donaldson's ""Soweto/So We Too"" (1979).",Art & Design
caption_10031,"""He was terminated last night via tweet, which is not normal,"" Jimmy Kimmel said on Wednesday of Christopher Krebs, a senior cybersecurity official. ""Usually to get rid of Krebs, Trump uses a little comb and some medicated shampoo.""",Television
caption_10037,"Patrick Stewart returns to his most famous role in &ldquo;Star Trek: Picard,&rdquo; premiering Thursday on CBS All Access.",Television
caption_1006,"Visitors to the Louvre to see the Mona Lisa on Oct. 24. Each day, 30,000 people pass through the gallery where Leonardo's painting hangs, according to the museum's director.",Art & Design
caption_10060,"Bronson van Wyck, a 44-year-old event planner who is descended from one of the New York region's Dutch founding families, in front of an 11-foot-tall map, once used to chart the appointments and engagements of George VI and Queen Elizabeth. He purchased it at auction from the estate of Princess Margaret.",Art & Design
caption_10061,"An installation view of the Maine Mineral &amp; Gem Museum in Bethel, Maine.",Art & Design
caption_10085,"Jonathan Lyndon Chase&rsquo;s &ldquo;gathering on 5th Street&rdquo; (2020) in the exhibition &ldquo;Wind Rider,&rdquo; the artist&rsquo;s New York solo debut.",Art & Design
caption_10086,Tracking devices may hamper children&rsquo;s development toward independence.,Opinion
caption_10087,"Daniel Zovatto, left, and Nathan Lane in &ldquo;Penny Dreadful: City of Angels.&rdquo;",Television
caption_10094,,Opinion
caption_10095,"Alejandro Jodorowsky with his wife, Pascale Montandon-Jodorowsky. She said Wednesday that he highlighted ""female power"" in his work but had been subject to ""attacks, scandals, intimidations, threats, slanders.""",Art & Design
