Folder,Caption,Label
caption_1000,"Billie Eilish performed ""No Time to Die,"" her James Bond theme, at the Brit Awards.",Music
caption_10000,An H&M clothing store being built on the Fulton Street Mall in Downtown Brooklyn is among many national retail outlets planned for the area.,Real Estate
caption_10001,"The country singer and songwriter Ashley McBryde spent time in Nashville &ldquo;trying to play the game.&rdquo; Her debut album, &ldquo;Girl Going Nowhere,&rdquo; was made on her own terms.",Music
caption_10003,Tom Garbutt,Real Estate
caption_10009,"John Schaefer, the longtime host of ""New Sounds"" on WNYC-FM, at Lincoln Center in 2011. The station said the show would go off the air at the end of the year.",Music
caption_10013,"The rapper Travis Scott performing at the MTV Video Music Awards in August. He will appear at the Super Bowl halftime show on Feb. 3 with the rapper Big Boi and the headlining band, Maroon 5.",Music
caption_10016,"W Hotels' ""What She Said"" series of talks are held at locations around the world and highlight female entrepreneurs and business leaders.",Travel
caption_1004,"The headquarters of the Tammany Central Association at 207 East 32nd Street, in 1902 and today. The building went up on the watch of the Tammany boss Richard Croker.",Real Estate
caption_10045,A beach in the Apostle Island region of northern Wisconsin.,Travel
caption_10048,The Banks is a mixed-use residential and entertainment development in downtown Cincinnati.,Real Estate
caption_10051,"The Buyers Dan and Rebecca Fontes and their daughter, Olivia, are pleased by their new neighborhood.",Real Estate
caption_10063,ASAP Rocky performing in New York last year. The rapper is touring Europe this summer.,Music
caption_10069,"From left, Sam Kiszka, Joshua Kiszka, Danny Wagner and Jacob Kiszka of Greta Van Fleet. The band&rsquo;s album &ldquo;Anthem of the Peaceful Army&rdquo; is steeped in 1970s influences.",Music
caption_10091,"Cecil Taylor, who died on Thursday in Brooklyn, seen here performing at the Whitney Museum in 2016.",Music
caption_10129,"The Long Island Museum of American Art, History and Carriages is a nine-acre complex of seven buildings on both sides of Route 25A.",Real Estate
caption_1013,"Central Park's trails about 1910, when horses could be rented by the hour.",Real Estate
caption_10132,"Dumbo's postindustrial landscape remains a strong presence, though today it is bookended by amenities like Brooklyn Bridge Park, at right.",Real Estate
caption_10133,"Haley Heynderickx will be one of the performers celebrating the 80th birthday of Woody Guthrie's ""This Land Is Your Land"" at the Town Hall on Sunday.",Music
caption_10142,"On Jan. 24, the Philharmonic will debut ""Fire in My Mouth,"" a reflection on the Triangle shirtwaist factory tragedy by Pulitzer Prize-winning composer Julia Wolfe, above.",Music
caption_10150,"Lil Baby, performing at an iHeartRadio Album Release Party in March, is back on top.",Music
caption_10164,Lyon transforms into a magical light show after the sun sets.,Travel
caption_10173,"Braden Spear, Audrey Spear and her sister Emily Moore, Tyler Moore and Mabel Moore. The Moores live directly above the Spears in an Astoria apartment building.",Real Estate
caption_10174,"A covered, furnished patio traces the back of the house, facing the pool. At the far end of the pool is a covered barbecue area with additional space for dining and an outdoor shower.",Real Estate
caption_10180,"Foreground, from left, Alan Oke, Jarrett Ott, Julie Mathevet and Eric Owens, with the New York Philharmonic and the Concert Chorale of New York, in David Lang's ""Prisoner of the State.""",Music
caption_10185,"The growth of the Port of Savannah, the nation's fourth-largest, is intensifying the demand for nearby warehouse and distribution space.",Real Estate
caption_10187,BlackTail's head bartender Jesse Vida. Virgin Atlantic offers cocktails courtesy of local bars such as BlackTail at some of its Clubhouse lounges.,Travel
caption_10196,"Disco Tehran, a performance project and party that combines live music and D.J. sets, recalls the music scene of 1970s Tehran.",Music
caption_102,"Renderings of two residential buildings, the left one designed by the firm of Christian Biecher, the other by MAD.",Real Estate
caption_10216,"Genesis P-Orridge at her Manhattan apartment last year. &ldquo;I&rsquo;d grown up thinking that the world was what I saw, and then I realized it wasn&rsquo;t &mdash; it could be anything at all,&rdquo; she said.",Music
caption_10228,"Carrie Fisher, Meg Ryan and Lisa Jane Persky in a scene at the Loeb Boathouse in Central Park; the boathouse today.",Travel
caption_10230,"A home site at Hudson Woods in Kerhonkson, in Ulster County, N.Y., where prices average $1 million.",Real Estate
caption_10242,"Kelly and Brandon Michon used plenty of their own elbow grease to clear out old carpets and remove layers of plaster, but got professional help for technical work like redesigning the kitchen.",Real Estate
caption_10245,The Capitol building in Havana was restored for the city's 350th anniversary.,Travel
caption_10249,The singer-songwriter Lucinda Williams has a book deal for a memoir.,Music
caption_10250,A crab cake corn dog from Mason's in Nashville.,Travel
caption_10261,Two 21-story towers in Coney Island are being developed by Red Apple Group and are scheduled for completion next summer.,Real Estate
caption_10266,The Shanghai Disneyland Hotel.,Travel
caption_10270,"Scenes from a weekend of performances and lectures at Tanglewood, including at the new Linde Center for Music and Learning.",Music
caption_10271,Taylor Swift performed a medley of her hits — including ones from her back catalog now owned by Scooter Braun — at the American Music Awards.,Music
caption_10278,An Uzbekistan Airlines plane.,Travel
caption_10283,"Some single New Yorkers prefer to travel for romance. Dating someone in their neighborhood — or worse still, their building — they'll tell you, is just asking for trouble.",Real Estate
caption_10287,The docks at Vineyard Haven near the Black Dog Tavern.,Travel
caption_10291,Lizzo&rsquo;s &ldquo;Truth Hurts&rdquo; has become a late-summer anthem. Two songwriters say they should be added to the song&rsquo;s credits.,Music
caption_10317,"Brendon Urie of Panic! at the Disco joins Taylor Swift on her bubbly new track, &ldquo;Me!&rdquo;",Music
caption_10321,"Diana Damrau, center, appears on &ldquo;Aria Code&rdquo; to discuss her performance in &ldquo;La Traviata&rdquo; at the Met.",Music
caption_10322,Visitors at Miho no Matsubara in Shizuoka Prefecture take in the view of Mount Fuji.,Travel
caption_10324,"Daniel Harding, who will lead the Royal Concertgebouw Orchestra on Thursday and Friday at Carnegie Hall.",Music
caption_10326,A boutique shop facing local housing in Havana. A number of old buildings in the city are being transformed into luxury hotels by foreign developers.,Real Estate
caption_10328,"Plovdiv's Old Town, spread over three hills, is a blend of 19th-century houses, Roman ruins and medieval arches.",Travel
caption_10347,The swimming pool in the courtyard has glass walls.,Travel
caption_10349,"In a 105-minute conversation filmed at Kanye West's California home on April 18, the rapper spoke about controversies, aspirations and regrets. A more emotional interview on TMZ was posted Tuesday as well.",Music
caption_1035,"American Airlines recently tapped the mattress and bedding brand Casper to design pillows, blankets and other products.",Travel
caption_10350,"A 5,700-square-foot walk-up, center, in the Lenox Hill neighborhood of Manhattan sold for $7.5 million.",Real Estate
caption_10360,"Semyon Bychkov leading the vocal ensemble Roomful of Teeth (inner circle) and the New York Philharmonic in Berio's ""Sinfonia.""",Music
caption_10365,"Parmigiano-Reggiano gnudi with sage, fava beans and grilled asparagus.",Travel
caption_10371,Adélie penguins in Antarctica.,Travel
caption_10373,The Crystal Serenity cruise ship plans to navigate the Northwest Passage in August.,Travel
caption_10374,"Wake Up Call Barcelona, a music festival in the W Hotel, drew 4,300 attendees in September. W has been at the vanguard among hotels staging music festivals.",Travel
caption_10375,"A 15-story condominium is planned for a site tucked behind a fence at 21 West 20th Street. The building will extend over the garage next door, forming a ""7"" shape from the street.",Real Estate
caption_10379,Adam Schlesinger was a gifted power-pop songwriter who never seemed to run out of hooks.,Music
caption_10391,"""I have to see this thing through,"" the singer Sparkle said. She testified at R. Kelly's 2008 trial, and may be a key witness again.",Music
caption_10395,"A limestone statue of Christopher Columbus soars 114 feet high in a park in the southwestern port city of Huelva, Spain. The statue was made by the writer's great-grandmother, Gertrude Vanderbilt Whitney.",Travel
caption_10397,"At the site of Xanadu (Shangdu), summer capital of the Mongol emperor Kublai Khan, in Inner Mongolia Autonomous Region, China.",Travel
caption_10403,The clarinetist Martin Frost and the pianist Henrik Mawe play during a recent Live Music Meditation event at Princeton University.,Music
caption_10413,"Noel Patterson, the beekeeper at Miraval Resort & Spa in Tucson, harvests honey from hives for the spa and the kitchens.",Travel
caption_10426,"Abdullah Ibrahim, left, in New York City with his big band in 2014. A South African-born pianist, he is one of the 2019 Jazz Masters being honored by the National Endowment for the Arts.",Music
caption_10435,The apartment opens to a stately gallery with a black-and-white checkered floor and a powder room. The gallery leads to the three main public spaces.,Real Estate
caption_10446,"Auli'i Cravalho, a native Hawaiian, is the voice of the heroine in Walt Disney Animation Studios' ""Moana.""",Travel
caption_10449,"Eager for a piece of the action, airlines, hotel, cruise and ferry operators and travel agencies have been scrambling to offer service in Cuba.",Travel
caption_10450,"Livestreams often remain stuck in the mundane work space where a song originated, rather than transporting viewers to all the places music can take them.",Music
caption_10453,A view of the McMillan Sand Filtration Site.,Real Estate
caption_10455,"Alicia Keys performed a play on the song of the year nominee ""Someone You Loved,"" by the 23-year-old Scottish singer Lewis Capaldi.",Music
caption_10457,"DONE DEAL  Liz and Doug Tiesi and their dog, Taco, in their TriBeCa loft, which was commercial space when they bought it.",Real Estate
caption_10459,"The 11,000-room Palace of Parliament, in Bucharest, Romania, was part of the dictator Nicolae Ceausescu's grand vision of a socialist metropolis. It is the largest office building in the world after the Pentagon.",Travel
caption_1046,"The composer and pianist Timo Andres, whose Carnegie Hall recital debut in April was canceled but captured in a different way online.",Music
